,Upvotes,Tags,Setup,Punchline,Joke,Setup-Profanity,Punchline-Profanity,Profanity,Max-Profanity,Profanity-Tag
8112,14,,why should you never buy a Asian graphics card?,bad drivers.,why should you never buy a Asian graphics card? bad drivers.,0.01850739181911052,0.07756304925067442,0.03077170589051358,0.07756304925067442,punchline
10874,8,,why should you never buy a Asian graphics card?,bad drivers.,why should you never buy a Asian graphics card? bad drivers.,0.01850739181911052,0.07756304925067442,0.03077170589051358,0.07756304925067442,punchline
12698,6,,You know what's really odd?,Numbers not divisible by 2.,You know what's really odd? Numbers not divisible by 2.,0.03756013507759516,0.004323630129245656,0.010406111314839012,0.03756013507759516,setup
15379,4,,You know what's really odd?,Numbers not divisible by 2.,You know what's really odd? Numbers not divisible by 2.,0.03756013507759516,0.004323630129245656,0.010406111314839012,0.03756013507759516,setup
267,11163,<clean>,Will glass coffins be a success?,Remains to be seen.,Will glass coffins be a success? Remains to be seen.,0.005476409523904004,0.06327947836838935,0.011214072882136578,0.06327947836838935,punchline
1542,170,,Will glass coffins be a success?,Remains to be seen.,Will glass coffins be a success? Remains to be seen.,0.005476409523904004,0.06327947836838935,0.011214072882136578,0.06327947836838935,punchline
17255,3,,Why would you rather run into a bmw driver than a cactus?,Because it's easier to deal with just one prick,Why would you rather run into a bmw driver than a cactus? Because it's easier to deal with just one prick,0.03325176519225734,0.39680603974166506,0.17020138360981596,0.39680603974166506,punchline
17256,3,,Why would you rather run into a bmw driver than a cactus?,Because it's easier to deal with just one prick,Why would you rather run into a bmw driver than a cactus? Because it's easier to deal with just one prick,0.03325176519225734,0.39680603974166506,0.17020138360981596,0.39680603974166506,punchline
2044,116,,Why were the Indians here first?,They had reservations.,Why were the Indians here first? They had reservations.,0.013899257444911245,0.018858995091456724,0.010633249496140376,0.018858995091456724,punchline
6737,19,,Why were the Indians here first?,They had reservations.,Why were the Indians here first? They had reservations.,0.013899257444911245,0.018858995091456724,0.010633249496140376,0.018858995091456724,punchline
1149,250,,Why were all Roman buildings made of stone?,They crucified the carpenter.,Why were all Roman buildings made of stone? They crucified the carpenter.,0.026335191913294913,0.0363997148316473,0.026335191913294913,0.0363997148316473,punchline
